RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event
201,1098,ROU,LUCHIDE Octav (ROU),S,0,Adalbert DESU,,G1'
206,1146,FRA,BARREAU Gaston (FRA),S,0,Emile VEINANTE,,G1'
3489,1176,SWE,NAGY Joszef (HUN),S,0,Arne NYBERG,,G1'
231,1544,TCH,VYTLACIL Rudolf (TCH),S,14,Vaclav MASEK,,G1'
239,1702,PRK,MYUNG Rye Hyun (PRK),S,8,PAK Seung Zin,C,G1'
1014,8763,PAR,CARPEGIANI (BRA),S,5,AYALA,,G1'
43950500,43950063,TUR,GUNES Senol (TUR),S,9,HAKAN SUKUR,C,G1'
255931,300186512,USA,KLINSMANN Juergen (GER),S,8,DEMPSEY,C,G1'
3491,1105,GER,NERZ Otto (GER),S,0,Ernest LEHNER,,G1' G42'
231,1470,HUN,BAROTI Lajos (HUN),S,9,Florian ALBERT,,G1' G6' G53'
293,878,ENG,GREENWOOD Ron (ENG),S,16,Bryan ROBSON,,G1' G67'
278,2347,FRA,HIDALGO Michel (FRA),S,17,Bernard LACOMBE,,G1' O74'
429,1164,FRA,BARREAU Gaston (FRA),S,0,Oscar HEISSERER,,G10'
208,1222,SUI,ANDREOLI Franco (SUI),S,0,Rene BADER,,G10'
3484,1278,FRG,HERBERGER Sepp (FRG),S,13,Max MORLOCK,,G10'
231,1478,URS,KACHALIN Gavril (URS),S,22,Igor CHISLENKO,,G10'
250,1883,ITA,VALCAREGGI Ferruccio (ITA),S,13,Angelo DOMENGHINI,,G10'
278,2199,HUN,BAROTI Lajos (HUN),S,13,Karoly CSAPO,,G10'
293,903,YUG,MILJANIC Miljan (SRB),S,3,Ivan GUDELJ,,G10'
249722,300061475,CMR,Paul LE GUEN (FRA),S,9,ETO'O,C,G10'
249718,300061507,BRA,DUNGA (BRA),S,11,ROBINHO,,G10'
43950100,43950041,BRA,SCOLARI Luiz Felipe (BRA),S,9,RONALDO,,G10' G13'
201,1097,USA,MILLAR Bob (USA),S,0,Bert PATENAUDE,,G10' G15' G50'
211,1304,TUR,PUPPO Sandro (ITA),S,8,Suat MAMAT,,G10' G30'
263,1948,NED,MICHELS Rinus (NED),S,14,Johan CRUYFF,C,G10' G90'
1025,8782,BRA,ZAGALLO Mario (BRA),S,20,BEBETO,,G10' O64'
97410100,97410038,SCG,PETKOVIC Ilija (SCG),S,19,ZIGIC,,G10' O67'
293,770,FRG,DERWALL Jupp (GER),S,9,Horst HRUBESCH,,G10' O69'
97410200,97410050,ARG,Jos� P�KERMAN (ARG),S,9,CRESPO,,G10' O75'
1014,8738,GER,VOGTS Berti (GER),S,7,M�LLER,,G10' O89'
309,432,BEL,THYS Guy (BEL),S,21,Stephane DEMOL,,G102'
569,1838,ITA,VALCAREGGI Ferruccio (ITA),S,11,Gigi RIVA,,G104'
3468,422,FRA,MICHEL Henri (FRA),S,13,Bernard GENGHINI,,G104'
206,1156,ROU,BRAUN Coloman (ROU),S,0,Stefan DOBAY,,G105'
295,914,FRG,DERWALL Jupp (GER),S,8,Klaus FISCHER,,G108'
204,1104,AUT,MEISL Hugo (AUT),S,0,Josef BICAN,,G109'
462,1295,HUN,SEBES Gusztav (HUN),S,8,Sandor KOCSIS,,G109' G116'
204,1119,HUN,NADAS Odon (HUN),S,0,Pal TELEKI,,G11'
204,1141,ROU,RADULESCU Constantin (ROU),S,0,Stefan DOBAY,,G11'
418,1123,ITA,POZZO Vittorio (ITA),S,0,Giuseppe MEAZZA,,G11'
232,1474,CHI,RIERA Fernando (CHI),S,11,Leonel SANCHEZ,,G11'
250,1770,TCH,MARKO Jozef (TCH),S,8,Ladislav PETRAS,,G11'
251,1768,BRA,ZAGALLO Mario (BRA),S,11,RIVELINO,,G11'
293,896,HUN,MESZOLY Kalman (HUN),S,11,Gabor POLOSKEI,,G11'
3468,422,BEL,THYS Guy (BEL),S,11,Jan CEULEMANS,C,G11'
322,265,ITA,VICINI Azeglio (ITA),S,13,Giuseppe GIANNINI,,G11'
322,348,SCO,ROXBURGH Andy (SCO),S,16,Stuart McCALL,,G11'
322,228,NED,BEENHAKKER Leo (NED),S,10,Ruud GULLIT,C,G11'
337,3054,BEL,VAN HIMST Paul (BEL),S,9,Marc DE GRIJSE,,G11'
338,3089,NED,Dick ADVOCAAT (NED),S,10,BERGKAMP,,G11'
43950200,43950051,SWE,SODERBERG Tommy (SWE),S,11,LARSSON,,G11'
255955,300186474,GER,LOEW Joachim (GER),S,13,M�LLER,,G11'
255955,300186474,GER,LOEW Joachim (GER),S,13,M�LLER,,G11'
338,3088,ROU,IORDANESCU Anghel (ROU),S,11,DUMITRESCU,,G11' G18' Y84' O88'
1024,8773,BRA,ZAGALLO Mario (BRA),S,5,C. SAMPAIO,,G11' G26'
308,522,DEN,PIONTEK Sepp (GER),S,10,Preben ELKJAER LARSEN,,G11' G67' G80'
239,1660,FRG,SCHOEN Helmut (FRG),S,8,Helmut HALLER,,G11' G83'
308,460,BUL,VUTSOV Ivan (BUL),S,11,Plamen GETOV,,G11' O58'
337,3052,IRL,CHARLTON Jack (ENG),S,8,Ray HOUGHTON,,G11' O68'
1014,8763,NGA,MILUTINOVIC Bora (YUG),S,18,Wilson ORUMA,,G11' O68'
249722,300061469,AUS,VERBEEK Pim (NED),S,14,HOLMAN,,G11' O68'
255931,300186453,CRO,KOVAC Niko (CRO),S,18,OLI?,,G11' O69'
1014,8726,ITA,MALDINI Cesare (ITA),S,21,Christian VIERI,,G11' O71'
294,750,BRA,SANTANA Tele (BRA),S,10,ZICO,,G11' O83'
338,3085,GER,VOGTS Berti (GER),S,18,KLINSMANN,,G11' O85'
309,432,BEL,THYS Guy (BEL),S,16,Nico CLAESEN,,G110'
206,1172,TCH,MEISSNER Vaclav (TCH),S,0,Josef ZEMAN,,G111'
1024,8776,FRA,JACQUET Aime (FRA),S,5,L. BLANC,,G114'
639,2198,ARG,MENOTTI Cesar Luis (ARG),S,4,Daniel BERTONI,,G115'
796,3095,SWE,SVENSSON Tommy (SWE),S,19,Kennet ANDERSSON,,G115'
249721,300061509,ESP,DEL BOSQUE Vicente (ESP),S,6,A.INIESTA,,G116' Y118'
206,1172,TCH,MEISSNER Vaclav (TCH),S,0,Oldrich NEJEDLY,,G118'
255951,300186503,ARG,SABELLA Alejandro (ARG),S,7,DI MARIA,,G118' Y120'
255951,300186503,ARG,SABELLA Alejandro (ARG),S,7,DI MARIA,,G118' Y120'
97410400,97410061,ITA,LIPPI Marcello (ITA),S,3,GROSSO,,G119'
405,1087,URU,SUPPICI Alberto (URU),S,0,Pablo DORADO,,G12'
208,1218,ITA,NOVO Ferruccio (ITA),S,0,Riccardo CARAPELLESE,C,G12'
462,1295,HUN,SEBES Gusztav (HUN),S,11,Zoltan CZIBOR,,G12'
220,1426,YUG,TIRNANIC Aleksandar (YUG),S,19,Radivoje OGNJANOVIC,,G12'
221,1392,FRG,HERBERGER Sepp (FRG),S,8,Helmut RAHN,,G12'
231,1470,HUN,BAROTI Lajos (HUN),S,5,Erno SOLYMOSI,,G12'
231,1544,MEX,TRELLEZ Ignacio (MEX),S,11,Isidoro DIAZ,,G12'
3478,1633,FRG,SCHOEN Helmut (FRG),S,8,Helmut HALLER,,G12'
250,1774,BUL,BOZHKOV Stefan (BUL),S,16,Asparukh NIKODIMOV,,G12'
262,1954,FRG,SCHOEN Helmut (FRG),S,12,Wolfgang OVERATH,,G12'
262,1987,BRA,ZAGALLO Mario (BRA),S,7,JAIRZINHO,,G12'
279,2252,BRA,COUTINHO Claudio (BRA),S,13,NELINHO,,G12'
294,788,BRA,SANTANA Tele (BRA),S,8,SOCRATES,C,G12'
1014,8746,DEN,JOHANSSON Bo (SWE),S,7,Allan NIELSEN,,G12'
1025,8784,NED,HIDDINK Guus (NED),S,9,Patrick KLUIVERT,,G12'
249722,300111115,NGA,LAGERBACK Lars (SWE),S,12,UCHE,,G12'
255931,300186473,CHI,SAMPAOLI Jorge (ARG),S,7,ALEXIS,,G12'
201,1084,ARG,OLAZAR Francisco (ARG),S,0,Guillermo STABILE,,G12' G13'
250,1747,BEL,GOETHALS Raymond (BEL),S,8,Wilfried VAN MOER,,G12' G54'
201,1086,ARG,OLAZAR Francisco (ARG),S,0,Adolfo ZUMELZU,,G12' G55'
323,129,TCH,VENGLOS Jozef (SVK),S,10,Tomas SKUHRAVY,,G12' G63' G82'
97410100,97410001,CRC,GUIMARAES Alexandre (CRC),S,9,WANCHOPE P.,,G12' G73'
211,1284,FRG,HERBERGER Sepp (FRG),S,20,Hans SCHAEFER,,G12' G79'
211,1294,HUN,SEBES Gusztav (HUN),S,10,Ferenc PUSKAS,C,G12' G89'
43950200,43950055,TUR,GUNES Senol (TUR),S,22,UMIT DAVALA,,G12' O74'
1024,8775,DEN,JOHANSSON Bo (SWE),S,11,LAUDRUP B.,,G12' O77'
337,3076,GER,VOGTS Berti (GER),S,18,KLINSMANN,,G12' Y28' G37'
255951,300186460,GER,LOEW Joachim (GER),S,8,�ZIL,,G120'
255951,300186460,GER,LOEW Joachim (GER),S,8,�ZIL,,G120'
206,1173,HUN,DIETZ Karoly (HUN),S,0,Vilmos KOHUT,,G13'
220,1372,URS,KACHALIN Gavril (URS),S,9,Nikita SIMONYAN,C,G13'
232,1525,TCH,VYTLACIL Rudolf (TCH),S,8,Adolf SCHERER,,G13'
250,1780,BUL,BOZHKOV Stefan (BUL),S,11,Dinko DERMENDZHIEV,,G13'
676,921,FRA,HIDALGO Michel (FRA),S,11,Rene GIRARD,,G13'
1014,8753,YUG,SANTRAC Slobodan (SRB),S,9,Predrag MIJATOVIC,,G13'
43950100,43950031,BEL,WASEIGE Robert (BEL),S,7,WILMOTS,C,G13'
255953,300186485,GER,LOEW Joachim (GER),S,5,HUMMELS,,G13'
